ID,N,Meff,hasPDB,hasModel,FDR
PF00082.19,253,2624.1611802429998,1,1,0.0530303,
PF00083.21,425,2061.802683887943,1,0,,CL0015
PF00084.17,58,7394.600125011127,0,1,0.06547619,CL0001
PF00085.17,96,2419.9433013479133,1,1,0.04784689,CL0172
PF00086.15,63,381.7437568351697,1,1,0.2177914,
PF00087.18,55,985.9558707756519,1,1,0.1875,CL0117
PF00088.15,42,288.77083158042655,0,0,,CL0630
PF00089.23,220,3519.748906651783,1,1,0.05444126,CL0124
PF00090.16,44,2450.1127106252657,1,0,,
PF00091.22,161,585.1202984083158,1,1,0.04444444,CL0566
PF00092.25,162,3280.847513963286,1,1,0.08809747,CL0128
PF00093.15,54,86.47256934171297,1,1,0.3,CL0451
PF00094.22,147,1367.8073810737733,0,1,0.1236897,
PF00095.18,42,800.238729889444,1,0,,
PF00096.23,22,4530.992138100044,1,0,,CL0361
PF00097.22,38,3804.531022075303,1,0,,CL0229
PF00098.20,17,4434.86916468516,1,0,,CL0511
