ID,N,Meff,hasPDB,hasModel,FDR
PF00200.20,72,640.2618908011214,1,1,0.2083333
PF00201.15,415,1190.6726976086752,1,1,0.5562176
PF00202.18,381,633.5041706777321,1,1,0.2506122
PF00203.18,81,730.4927711542307,1,1,0.1720085
PF00204.22,171,595.6966552961244,1,1,0.06470588
PF00205.19,133,717.7315180314916,1,1,0.04810997
PF00206.17,325,372.8690761587971,1,1,0.2632075
PF00207.19,91,425.51179274077396,1,1,0.3738426
PF00208.18,239,1514.0010273864305,1,1,0.06641124
PF00209.15,511,513.7253127258342,1,0,
PF00210.21,135,362.01653045931823,1,1,0.130621
PF00211.17,182,1871.6728331803909,1,1,0.04727273
PF00212.15,27,79.42032818768338,1,0,
PF00213.15,171,802.4572672822445,1,1,0.1466346
PF00214.16,123,33.31732526188162,0,1,0.572288
PF00215.21,211,309.37232577868645,1,1,0.05192308
PF00216.18,90,890.9441802769752,1,1,0.155633
PF00217.16,231,448.1278004629756,1,1,0.2447292
PF00218.18,242,577.1198205157568,1,1,0.0625
PF00219.15,53,104.05491420964316,0,1,0.1145374
PF00220.14,9,5.0,0,0,
PF00221.16,455,487.83605559421613,1,0,
PF00223.16,710,41.65069250479405,1,1,0.6345609
PF00224.18,339,777.6343095538667,1,1,0.0669145
PF00225.20,306,2632.3504804202507,1,1,0.1256072
PF00226.28,62,5710.109565631889,1,1,0.05354331
PF00227.23,181,411.85014645615007,1,1,0.148581
PF00228.17,24,153.39510022555044,0,0,
PF00229.15,141,169.46821862630864,1,1,0.4664446
PF00230.17,212,772.2958566042064,1,1,0.1616162
PF00231.16,279,909.7687044904973,1,1,0.4113712
PF00232.15,441,2326.5915601753377,1,0,
PF00233.16,235,520.9484252978846,1,1,0.2170979
PF00234.19,85,462.3037727609608,1,1,0.3465473
PF00235.16,126,248.08216905355863,1,1,0.1240418
PF00236.15,89,42.7808343484427,1,1,0.28686
PF00237.16,104,1026.9570523412904,1,1,0.06485849
PF00238.16,122,626.140350570832,1,1,0.2017958
PF00239.18,148,1396.0904416384465,1,1,0.1126126
PF00240.20,67,2856.509074638767,1,1,0.1012862
PF00241.17,120,312.02901930192314,1,1,0.2197681
PF00242.14,352,32.143542692404274,0,0,
PF00243.15,117,132.76656216444837,1,1,0.4255319
PF00244.17,222,432.687738660072,1,1,0.5663295
PF00245.17,434,1324.4799016783331,1,1,0.1726776
PF00246.21,279,696.6476095500869,1,1,0.176565
PF00248.18,296,1282.4012992979533,1,1,0.08275862
PF00249.28,45,2067.066232355319,1,0,
PF00250.15,85,682.7873024360473,1,1,0.2567829
PF00251.17,282,383.85107041656613,1,1,0.1396226
PF00252.15,128,578.7513809418084,1,1,0.1790416
PF00253.18,54,311.3815495464557,1,1,0.3619081
PF00254.25,88,1658.7641430932733,1,1,0.05208333
PF00255.16,106,3101.315376544552,1,1,0.05579399
PF00257.16,257,18927.335751794468,0,1,0.3076506
PF00258.22,132,647.705551407394,1,1,0.05132743
PF00260.17,49,34.05056347821123,0,0,
PF00261.17,237,92150.9485809856,0,1,0.5017588
PF00262.15,358,182.7059795181349,1,1,0.4863168
PF00263.18,162,831.6077831905764,1,1,0.2322176
PF00264.17,165,889.5445082454054,1,1,0.5033708
PF00265.15,171,453.4689652153962,1,1,0.1698009
PF00266.16,368,938.6805671708609,1,1,0.1627907
PF00267.18,328,2942.034256749369,1,1,0.1862464
PF00268.18,269,151.8031598109378,1,1,0.5329341
PF00269.17,54,319.251100876734,1,1,0.08209693
PF00270.26,168,3866.221100325824,1,1,0.06742857
PF00271.28,108,2877.078142191399,1,1,0.05427975
PF00272.16,30,29.577075842045833,1,0,
PF00273.17,172,75.94564326415319,1,1,0.5190455
PF00274.16,345,215.3501992122851,1,1,0.5312564
PF00275.17,399,465.94878930674275,1,0,
PF00276.17,86,937.6238545559734,1,1,0.05150977
PF00277.15,101,86.4955050588633,1,1,0.456232
PF00278.19,103,495.26001043496933,1,1,0.2566973
PF00280.15,60,289.8583226435066,1,1,0.09771987
PF00281.16,57,1127.6427011386365,1,1,0.3018946
PF00282.16,367,1599.2397698867576,1,1,0.3761114
PF00283.16,29,75.10733895327091,0,0,
PF00284.17,39,149.8541718538755,1,0,
PF00285.18,365,303.6284089748027,1,1,0.1450151
PF00286.17,134,81.00620394124098,1,1,0.3700116
PF00287.15,261,176.2333513566169,1,1,0.5744376
PF00288.23,65,510.30554537393687,1,1,0.1205008
PF00289.19,110,1736.5340381618869,1,1,0.06097561
PF00290.17,241,558.0237913150503,1,1,0.05278592
PF00291.22,260,723.4144055375695,1,1,0.09653465
PF00292.15,125,5139.599236276689,1,1,0.4505401
PF00293.25,120,2668.115272248301,1,1,0.1790254
PF00294.21,278,2031.5178903084416,1,1,0.04255319
PF00295.14,312,1290.9838070704832,1,1,0.2113821
PF00296.17,297,1047.343638543966,1,1,0.3343993
PF00297.19,373,496.04964139286494,1,1,0.5432541
PF00298.16,69,910.990626071251,1,1,0.06134094
PF00299.15,28,54.291550137659485,1,0,
PF00300.19,190,2204.8219416578368,1,1,0.05555556
PF00301.17,47,622.4886406331084,1,0,
PF00302.15,203,1101.7621506211099,1,1,0.2567829
PF00303.16,262,621.9846537853907,1,1,0.1710376
PF00304.17,47,274.2176221196585,1,0,
PF00305.16,661,175.87961599639698,1,0,
PF00306.24,126,1097.4413500788894,1,1,0.1310541
PF00307.28,104,561.0406785636651,1,1,0.07525773
PF00308.15,216,1074.304054112586,1,1,0.3670197
PF00309.17,46,660.3054095001803,1,0,
PF00310.18,416,355.96284479269883,1,1,0.2812617
PF00311.14,781,256.13853091480587,1,0,
PF00312.19,81,771.0398277858592,1,1,0.1129944
PF00313.19,65,2123.6215899935796,1,1,0.04513889
PF00314.14,203,283.64629580455596,1,1,0.3359299
PF00316.17,187,1158.1929174084783,1,1,0.2602142
PF00317.18,71,265.4032075685517,1,1,0.3412409
PF00318.17,216,462.12718903533937,1,1,0.1630682
PF00319.15,48,1012.0377831354684,1,0,
PF00320.24,34,928.5071899088476,1,0,
PF00321.14,43,83.93305571651202,1,0,
PF00322.14,25,71.24294874641245,1,0,
PF00323.16,29,71.68535353535361,0,0,
PF00324.18,353,1313.8573632192056,1,0,
PF00325.17,31,1112.7475471279354,1,0,
PF00326.18,191,2640.575478680109,1,1,0.06594724
PF00327.17,51,779.6620114633057,1,1,0.130621
PF00328.19,325,514.058529851129,1,1,0.4568232
PF00329.16,117,706.3705417099044,1,1,0.1379534
PF00330.17,429,203.40616437645102,1,1,0.3824214
PF00331.17,291,2166.0150893595137,1,1,0.06565064
PF00332.15,304,205.99182511810602,1,1,0.2530315
PF00333.17,65,780.120154168907,1,1,0.08884859
PF00334.16,133,1483.098779968825,1,1,0.05187835
PF00335.17,232,1446.9631413926795,0,1,0.512667
PF00336.15,243,822.2304519629728,0,0,
PF00337.19,127,432.0240627252906,1,1,0.07426778
PF00338.19,95,639.330327402373,1,1,0.3764427
PF00339.26,146,1235.8598284089105,1,1,0.2767916
PF00340.16,117,69.9647933797185,1,1,0.4361593
PF00341.14,79,184.23607255968855,1,1,0.4163449
PF00342.16,496,1133.5209740669256,1,0,
PF00343.17,704,207.3546222394729,1,1,0.5572387
PF00344.17,333,459.2598310881539,1,1,0.536318
PF00345.17,118,650.7756283743533,1,1,0.4074322
PF00346.16,270,384.1255243085605,1,1,0.4840474
PF00347.20,72,1339.0647203010528,1,1,0.3519176
PF00348.14,243,1493.261128696084,1,1,0.2163375
PF00349.18,192,2057.262992033679,1,1,0.2122319
PF00350.20,173,1833.2416782108048,1,1,0.4855273
PF00351.18,330,167.8769356476514,1,1,0.5963675
PF00352.18,82,535.2663216433066,1,1,0.1242424
PF00353.16,18,2021.916473326443,0,0,
PF00354.14,194,2530.8499919494966,1,1,0.2491803
PF00355.23,82,883.8106398277796,1,1,0.09639564
PF00356.18,45,1435.357857924852,1,0,
PF00357.17,15,21.769504643962847,0,0,
PF00358.17,124,1855.932272256566,1,1,0.06315789
PF00359.19,144,1961.097196388428,1,1,0.05263158
PF00360.17,167,769.2111278841286,1,1,0.1734198
PF00361.17,279,1681.8063570247755,1,1,0.4782609
PF00362.15,421,164.51909490499722,1,1,0.5718402
PF00363.15,79,27.706996282574444,0,1,0.456232
PF00364.19,71,1741.9847871959605,1,1,0.2020628
PF00365.17,270,989.7255358909507,1,1,0.1479042
PF00366.17,68,1201.9164202640516,1,1,0.1092437
PF00367.17,34,2135.4481346057137,1,0,
PF00368.15,378,167.90783335003397,1,1,0.5734108
PF00370.18,241,936.277649648842,1,1,0.08847926
PF00372.16,263,114.06160506124183,1,1,0.5221113
PF00373.15,108,383.97895714174643,1,1,0.2018868
PF00374.16,519,868.0551391945266,1,1,0.576884
PF00375.15,401,513.3014511605999,1,1,0.476948
PF00376.20,37,1764.3918647166968,1,0,
PF00377.15,92,26.52240078631775,1,1,0.4948381
PF00378.17,250,1736.1041789852395,1,1,0.3182432
PF00379.20,56,722.7871259296037,0,1,0.1786653
PF00380.16,121,1098.2300098766832,1,1,0.2665739
PF00381.16,82,902.4101246272984,1,1,0.02325581
PF00382.16,66,504.7945254878681,1,1,0.1362782
PF00383.20,101,978.7528947016614,1,1,0.03773585
PF00384.19,312,686.2659875540648,1,0,
PF00385.21,50,1614.9825281697167,1,1,0.2437059
PF00386.18,125,647.8283440084357,1,1,0.2800151
PF00387.16,116,401.4088326066195,1,1,0.3921255
PF00388.16,148,1387.5505203072498,1,1,0.1531213
PF00389.27,247,1624.260887968037,1,1,0.1332445
PF00390.16,181,374.68931884868755,1,1,0.1587177
PF00391.20,71,1249.3212278002052,1,1,0.08733205
PF00392.18,63,4604.161215659503,1,1,0.04
PF00393.16,285,577.7044722622276,1,0,
PF00394.19,136,635.9139215189746,1,1,0.07274701
PF00395.17,43,3811.5476686456914,1,0,
PF00396.15,42,289.9604813630351,0,0,
PF00397.23,29,1540.944399161332,1,0,
PF00398.17,248,2867.2821236832783,1,0,
PF00399.16,17,65.33528652496548,0,0,
PF00400.29,35,4422.553851984898,1,0,
PF00401.17,45,652.0604404242564,1,0,
PF00402.15,24,187.05971765062475,0,0,
PF00403.23,59,2015.6466672853571,1,1,0.04081633
PF00404.15,21,40.92292420926325,1,0,
PF00405.14,325,1990.3185042379878,1,0,
PF00406.19,179,2365.262856630992,1,0,
PF00407.16,148,669.0800148428324,1,1,0.1231631
PF00408.17,69,1328.215492996777,0,1,0.0456621
PF00410.16,126,1026.2131361087556,1,1,0.04972376
PF00411.16,109,797.817076241738,1,1,0.06674907
PF00412.19,55,747.2705630811112,1,1,0.2300128
PF00413.21,155,1073.350162064518,1,1,0.2796834
PF00414.14,16,1.0,0,0,
PF00415.15,50,4361.076106639509,1,0,
PF00416.19,105,971.7675807236503,1,1,0.2048694
PF00418.16,31,166.01993436023824,1,0,
PF00419.17,144,1582.2785586291197,1,1,0.1394017
PF00420.21,93,577.9215009005707,1,1,0.3358016
PF00421.16,499,35.04620638502051,1,1,0.5163428
PF00423.16,483,53.277847854645934,1,1,0.5513713
PF00424.15,90,111.90533431369718,1,1,0.4122939
PF00425.15,255,1226.408717158599,1,1,0.1424149
PF00426.15,,,0,0,
PF00427.18,126,496.87008649898394,1,1,0.3659306
PF00428.16,81,237.33223781931568,1,1,0.5682811
PF00429.16,621,134.54616223671525,0,1,0.6227856
PF00430.15,127,256.1749089799814,1,1,0.5394628
PF00431.17,107,4201.329054857196,1,1,0.05345912
PF00432.18,44,328.86368044393055,1,0,
PF00433.21,40,520.5104866640296,0,0,
PF00434.15,273,32.38785099514368,1,1,0.5806995
PF00435.18,103,528.5738960831235,1,1,0.4728856
PF00436.22,98,1179.5777232145242,1,1,0.056
PF00437.17,266,1081.4472782096727,1,1,0.3561885
PF00438.17,99,724.3825102823937,1,1,0.200122
PF00439.22,83,1845.6609930781144,1,1,0.114053
PF00440.20,45,4180.122544519491,1,0,
PF00441.21,149,763.8273282679439,1,1,0.06561361
PF00443.26,449,2047.118384317788,0,1,0.5381329
PF00444.15,38,296.5215078986438,1,0,
PF00445.15,174,399.07979219963653,1,1,0.2110092
PF00446.14,10,22.00000000000006,0,0,
PF00447.14,100,736.1304529847878,1,1,0.1577287
PF00448.19,184,687.2825941612201,1,1,0.2409337
PF00449.17,116,5852.943935625357,1,1,0.3716849
PF00450.19,395,3323.158612397153,1,1,0.2949602
PF00451.16,32,64.36384939779084,1,0,
PF00452.16,99,176.6320606170335,1,1,0.1578125
PF00453.15,107,905.8620367592979,1,1,0.3645371
PF00454.24,208,366.65580417730195,1,1,0.4133688
PF00455.19,154,793.5921105247169,1,1,0.1662003
PF00456.18,324,733.1049293669108,1,1,0.08839779
PF00457.14,178,234.4524898637449,1,1,0.1291638
PF00458.17,51,227.14265783995202,1,1,0.1119403
PF00459.22,242,1863.4818465167473,1,1,0.09249564
PF00460.17,31,852.3102238968926,0,0,
PF00462.21,57,1343.505821506399,1,1,0.05306122
PF00463.18,523,196.0627231154928,1,1,0.6272481
PF00464.16,376,546.2744908382297,1,1,0.4309701
PF00465.16,315,651.2110467450153,1,1,0.07558733
PF00466.17,92,855.7783942625061,1,1,0.04504505
PF00467.26,31,1384.1719950693584,1,0,
PF00468.14,44,682.8554128294871,0,0,
PF00469.17,200,45.68135114565108,1,1,0.5796095
PF00471.17,44,474.6094558224829,1,0,
PF00472.17,109,815.0335708440962,1,1,0.3122855
PF00473.14,38,40.26557961248851,1,0,
PF00474.14,416,975.2596346277328,1,1,0.5742635
PF00475.15,142,869.337805924848,1,1,0.0915493
PF00476.17,374,988.2341937231243,1,0,
PF00477.14,109,128.03438713372645,0,1,0.4038921
PF00478.22,461,498.71693509181614,1,0,
PF00479.19,169,853.1388001658264,1,1,0.06666667
PF00480.17,287,2117.0865227134786,1,1,0.05952381
PF00481.18,244,1423.3640501021266,1,1,0.06539834
PF00482.20,102,1964.2991975459995,1,1,0.1331995
PF00483.20,236,3452.1926972509377,1,1,0.07296137
PF00484.16,152,468.21239134337,1,1,0.1203704
PF00485.15,205,1405.9509286062553,1,1,0.3757414
PF00486.25,76,8262.669148879077,1,1,0.07266811
PF00487.21,262,385.427358113349,0,1,0.5740892
PF00488.18,185,1697.7374202386425,1,1,0.1607143
PF00489.14,182,37.10285277099089,1,1,0.48347
PF00490.18,317,892.9187270906341,1,1,0.08258706
PF00491.18,271,713.96422943779,1,1,0.05084746
PF00493.20,317,692.1158579189266,1,1,0.5498103
PF00494.16,252,630.7216854997894,1,1,0.1336436
PF00496.19,367,1977.282377416571,1,0,
PF00497.17,217,3383.4214676876336,1,1,0.05418719
PF00498.23,59,5393.863691906834,1,1,0.406187
PF00499.17,137,572.1527725280124,1,1,0.5228306
PF00500.15,485,129.97050486337469,1,1,0.6019771
PF00501.25,392,2656.3184440459977,1,1,0.1787798
PF00502.16,155,210.82043449384673,1,1,0.2170979
PF00503.17,324,1414.2647150969183,1,1,0.6131522
PF00504.18,166,495.8176644066789,1,1,0.3123003
PF00505.16,69,1520.3430805608166,1,1,0.1339779
PF00506.15,520,31.123355747731623,1,0,
PF00507.16,94,936.0209090864977,1,1,0.4591097
PF00508.14,198,192.87383515024948,1,1,0.491457
PF00509.15,484,36.7536546980617,1,1,0.6311944
PF00510.15,253,837.0797827695962,1,1,0.5950823
PF00511.14,78,200.08332193992484,1,1,0.3724612
PF00512.22,62,5302.1311060749995,1,1,0.1302476
PF00513.15,454,158.29762437108772,0,1,0.6040118
PF00514.20,38,1513.3655434725054,1,0,
PF00515.25,31,8380.274909701966,1,0,
PF00516.15,467,182.51458584699424,1,1,0.5737235
PF00517.14,203,38.420360375033894,0,1,0.6187946
PF00518.14,110,167.99703385447566,1,1,0.2651163
PF00519.14,334,588.1364038616407,1,1,0.6329434
PF00520.28,246,757.891159543431,1,1,0.6140528
PF00521.17,438,493.2145878224281,1,0,
PF00522.15,83,140.03181416315616,1,1,0.4304225
PF00523.15,497,51.90671903740756,1,1,0.6324706
PF00524.15,128,133.40697560418548,0,1,0.5840057
PF00525.15,54,85.75385686414978,0,1,0.3974135
PF00526.15,23,105.27738095238095,0,0,
PF00527.15,86,116.85847040439877,0,1,0.4446388
PF00528.19,192,1297.823038465092,1,1,0.4825063
PF00529.17,339,4052.1874492390616,1,0,
PF00530.15,91,1398.9744375697298,1,1,0.1173913
PF00531.19,82,726.4809150700286,1,1,0.09655751
PF00532.18,246,2934.620329113977,1,1,0.05475504
PF00533.23,79,1976.141927371115,1,1,0.05113636
PF00534.17,154,6959.769286831272,1,1,0
PF00535.23,157,2790.593049320101,1,1,0.05567452
PF00536.27,63,23.554498487034092,1,1,0.2744982
PF00537.15,54,117.15816618751737,1,1,0.09878543
PF00538.16,73,302.0879023762777,1,1,0.0881295
PF00539.15,47,103.8469642975098,0,0,
PF00540.15,131,233.5473504768924,1,1,0.4831597
PF00541.14,178,53.56640892121094,1,1,0.423005
PF00542.16,67,898.0141639384951,1,1,0.05
PF00543.19,102,1459.3213819811053,1,1,0.1451028
PF00544.16,229,7357.375125963441,1,1,0.2735334
PF00545.17,79,337.52692330229155,1,1,0.2847584
PF00547.15,99,345.8931677827787,1,1,0.2624769
PF00548.17,165,12892.586962811683,1,1,0.3202614
PF00549.16,151,220.26214078526502,1,1,0.2208995
PF00550.22,60,6564.924768995411,1,1,0.05521472
PF00551.16,178,826.7286633100008,1,1,0.05590062
PF00552.18,50,137.93304755547345,1,1,0.2764977
PF00553.16,96,477.44816102143284,1,1,0.06650246
PF00554.19,169,110.54248250752791,1,1,0.4438968
PF00555.16,189,129.30022079789885,1,1,0.5301573
PF00556.17,41,64.27617311567201,1,0,
PF00557.21,202,854.2435957303434,1,0,
