ID,pcons,proq3,M,N,Meff,ppv,TPR,FPR,tm,fdr
PF00035.23,0.604,0.763397,25428,66,1399.30185772058,0.612121212121,0.612121212121,0.387878787879,0.5801,0.02439024
PF00038.18,0.086,0.348369,,315,97846.96978719324,,,,,0.5958759
PF00041.18,0.35,0.54252,40836,79,3312.38139017153,0.606060606061,0.606060606061,0.393939393939,0.5811,0.07290533
PF00042.19,0.377,0.464053,13650,107,517.219112407839,0.391791044776,0.391791044776,0.608208955224,0.5706,0.1968553
PF00043.22,0.548,0.577198,65484,99,1857.3230587443,0.504032258065,0.504032258065,0.495967741935,0.618,0.08780037
PF00044.21,0.275,0.485591,23193,146,837.773727643935,0.545205479452,0.545205479452,0.454794520548,0.568,0.1792702
PF00046.26,0.667,0.638175,52859,54,2127.33361762944,0.488888888889,0.488888888889,0.511111111111,0.6288,0.06353591
PF00047.22,0.422,0.540477,63876,68,6263.32861670596,0.617647058824,0.617647058824,0.382352941176,0.6189,0.06434316
PF00048.17,0.415,0.524319,3663,60,300.905698693549,0.52,0.52,0.48,0.4411,0.1366623
PF00049.15,0.187,0.450397,1842,80,241.073006441558,0.38,0.38,0.62,0.2344,0.485112
PF00050.18,0.299,0.470434,,58,1331.2500376782436,,,,,0.1740302
PF00051.15,0.235,0.614901,3224,78,620.599293261925,0.553846153846,0.553846153846,0.446153846154,0.428,0.1005632
PF00052.15,0.181,0.391383,2885,137,217.98783600568,0.437317784257,0.437317784257,0.562682215743,0.4662,0.4624069
PF00053.21,0.227,0.517851,,52,1056.166741886379,,,,,0.1167031
PF00054.20,0.304,0.454266,19287,123,1093.44460863413,0.597402597403,0.597402597403,0.402597402597,0.5589,0.1332891
PF00055.14,0.158,0.164378,3512,221,146.379494963167,0.405063291139,0.405063291139,0.594936708861,0.2951,0.4438316
PF00056.20,0.459,0.552097,65499,138,404.718475203049,0.515942028986,0.515942028986,0.484057971014,0.6489,0.1105183
PF00059.18,0.546,0.615543,21280,101,3332.7892512453,0.592885375494,0.592885375494,0.407114624506,0.6601,0.05966587
PF00060.23,0.095,0.334109,8897,272,688.893793811849,0.307352941176,0.307352941176,0.692647058824,0.1914,0.6055941
PF00061.20,0.251,0.485839,6209,134,315.170356152912,0.501492537313,0.501492537313,0.498507462687,0.4568,0.2366541
PF00062.17,0.21,0.513127,5903,119,391.225645492466,0.348993288591,0.348993288591,0.651006711409,0.3248,0.3874232
PF00064.15,0.049,0.0715297,19891,466,22.4417678478875,0.403433476395,0.403433476395,0.596566523605,0.1949,0.5680219
PF00068.16,0.158,0.620187,3217,106,297.554935532904,0.343396226415,0.343396226415,0.656603773585,0.2425,0.1920591
PF00069.22,0.566,0.61185,65524,246,4823.85470192339,0.6,0.6,0.4,0.8409,0.05397727
PF00070.24,0.655,0.58497,65292,66,1681.7422262962,0.593939393939,0.593939393939,0.406060606061,0.6553,0.05341246
PF00071.19,0.608,0.736264,65267,159,1807.61417935962,0.585427135678,0.585427135678,0.414572864322,0.8347,0.04424779
PF00072.21,0.733,0.682371,64500,107,8098.312237455,0.64552238806,0.64552238806,0.35447761194,0.706,0.04347826
PF00073.17,0.094,0.18394,13070,210,153.658767192216,0.4,0.4,0.6,0.2246,0.524612
PF00074.17,0.209,0.57511,1413,119,191.916381406545,0.402684563758,0.402684563758,0.597315436242,0.3063,0.2829655
PF00075.21,0.622,0.686656,38949,136,3604.2277171704,0.617647058824,0.617647058824,0.382352941176,0.7426,0.05494505
PF00076.19,0.618,0,136710,66,5794.0225683803,0.557575757576,0.557575757576,0.442424242424,0.3208,0.1106195
PF00077.17,0.336,0.467985,44422,92,4508.52353117696,0.55652173913,0.55652173913,0.44347826087,0.601,0.1574074
PF00078.24,0.203,0.346811,38822,211,2483.66574602942,0.445075757576,0.445075757576,0.554924242424,0.4465,0.4193959
PF00080.17,0.318,0.658285,9356,138,722.977606537447,0.568115942029,0.568115942029,0.431884057971,0.6146,0.06733167
PF00081.19,0.362,0.437863,7103,81,1040.17948432923,0.369458128079,0.369458128079,0.630541871921,0.4198,0.2127781
PF00082.19,0.569,0.659552,42832,253,2624.161180243,0.633491311216,0.633491311216,0.366508688784,0.7519,0.0530303
PF00084.17,0.307,0.668374,,58,7394.600125011127,,,,,0.06547619
PF00085.17,0.535,0.63878,65512,96,2419.94330134791,0.629166666667,0.629166666667,0.370833333333,0.6908,0.04784689
PF00086.15,0.243,0.605096,4868,63,381.74375683517,0.398734177215,0.398734177215,0.601265822785,0.3117,0.2177914
PF00087.18,0.262,0.266668,4559,55,985.955870775652,0.586956521739,0.586956521739,0.413043478261,0.2819,0.1875
PF00089.23,0.407,0.607606,49930,220,3519.74890665178,0.650909090909,0.650909090909,0.349090909091,0.7083,0.05444126
PF00091.22,0.448,0.710732,21697,161,585.120298408316,0.595533498759,0.595533498759,0.404466501241,0.7649,0.04444444
PF00092.25,0.353,0.559206,65273,162,3280.84751396329,0.575308641975,0.575308641975,0.424691358025,0.6102,0.08809747
PF00093.15,0.196,0.229766,383,54,86.472569341713,0.474074074074,0.474074074074,0.525925925926,0.1665,0.3
PF00094.22,0.265,0.518577,,147,1367.8073810737733,,,,,0.1236897
PF00100.20,0.124,0.127686,8454,216,607.332024612058,0.475925925926,0.475925925926,0.524074074074,0.2686,0.4208531
PF00101.17,0.254,0.494668,1583,97,74.8986302098007,0.41975308642,0.41975308642,0.58024691358,0.3114,0.3604294
PF00102.24,0.517,0.641715,21826,231,1194.01117338564,0.536332179931,0.536332179931,0.463667820069,0.7521,0.06043165
PF00103.17,0.157,0.426485,2074,194,86.6159709827396,0.239175257732,0.239175257732,0.760824742268,0.2076,0.5179302
PF00104.27,0.211,0.35561,10691,203,593.866670605891,0.314960629921,0.314960629921,0.685039370079,0.4781,0.4981413
PF00105.15,0.235,0.409003,13843,69,1236.92031084437,0.50289017341,0.50289017341,0.49710982659,0.2099,0.3148022
PF00106.22,0.649,0.684114,65531,188,3656.84045607522,0.657446808511,0.657446808511,0.342553191489,0.7089,0.03030303
PF00107.23,0.479,0.606904,65522,114,1655.06044325239,0.6,0.6,0.4,0.6587,0.0511811
PF00108.20,0.341,0.470454,82244,249,4176.0988223669,0.584269662921,0.584269662921,0.415730337079,0.6063,0.1242149
PF00109.23,0.393,0.547068,80827,242,3044.96538187116,0.580165289256,0.580165289256,0.419834710744,0.6737,0.07931727
PF00110.16,0.148,0.39915,4636,274,379.093339912531,0.413138686131,0.413138686131,0.586861313869,0.2529,0.5034858
PF00111.24,0.324,0.441013,41902,71,1110.61176244106,0.511235955056,0.511235955056,0.488764044944,0.4333,0.2296835
PF00112.20,0.461,0.629953,21755,213,1214.22049042513,0.587242026266,0.587242026266,0.412757973734,0.6733,0.0509434
PF00113.19,0.296,0.528795,49938,288,804.577344844825,0.486111111111,0.486111111111,0.513888888889,0.6626,0.2015977
PF00114.16,0.293,0.568745,3611,103,412.012519757977,0.546511627907,0.546511627907,0.453488372093,0.3916,0.1168831
PF00115.17,0.2,0.441894,33848,442,655.612431827101,0.346606334842,0.346606334842,0.653393665158,0.7232,0.4969403
PF00116.17,0.286,0.308364,40387,115,491.127303970858,0.631944444444,0.631944444444,0.368055555556,0.5669,0.1906885
PF00117.25,0.456,0.583882,64621,178,465.494608406641,0.570786516854,0.570786516854,0.429213483146,0.7047,0.06708075
PF00119.17,0.316,0.244765,30485,172,686.388934193088,0.33023255814,0.33023255814,0.66976744186,0.3907,0.2940674
PF00121.15,0.619,0.726135,9132,232,1490.74172258835,0.668965517241,0.668965517241,0.331034482759,0.7899,0.07692308
PF00122.17,0.135,0.461139,65322,228,1040.21476768084,0.349122807018,0.349122807018,0.650877192982,0.2661,0.4695341
PF00124.16,0.099,0.117768,15246,254,81.4570842935634,0.308661417323,0.308661417323,0.691338582677,0.2536,0.6268681
PF00125.21,0.125,0.179417,16239,133,755.760556011951,0.369369369369,0.369369369369,0.630630630631,0.267,0.5916127
PF00126.24,0.682,0.65989,65506,58,5490.86636511919,0.6,0.6,0.4,0.5674,0.05343511
PF00127.17,0.25,0.430974,20315,98,1389.61259351638,0.579591836735,0.579591836735,0.420408163265,0.502,0.1818653
PF00128.21,0.216,0.476001,65211,352,842.989169075266,0.442045454545,0.442045454545,0.557954545455,0.5354,0.3611026
PF00129.15,0.176,0.258963,61339,173,707.696651380918,0.434180138568,0.434180138568,0.565819861432,0.3284,0.5055359
PF00130.19,0.297,0,16798,50,858.566111437001,0.528,0.528,0.472,0.1043,0.3277439
PF00131.17,0.178,0.29646,,60,61.57029324654832,,,,,0.1873767
PF00134.20,0.209,0.615006,3,71,2,0.365168539326,0.365168539326,0.634831460674,0.6883,0.2019147
PF00135.25,0.258,0.409384,65262,510,7708.33010978242,0.530980392157,0.530980392157,0.469019607843,0.6555,0.262159
PF00136.18,0.098,0.36649,14484,426,259.919189991875,0.340845070423,0.340845070423,0.659154929577,0.2796,0.5796576
PF00137.18,0.336,0.22247,20477,64,269.967244895928,0.3625,0.3625,0.6375,0.3427,0.2567829
PF00139.16,0.233,0,7200,235,617.83518192868,0.535714285714,0.535714285714,0.464285714286,0.5736,0.2858942
PF00141.20,0.189,0.562825,22628,238,368.601788837801,0.4,0.4,0.6,0.4935,0.3031697
PF00142.15,0.374,0.418825,65525,269,1605.15527676878,0.439821693908,0.439821693908,0.560178306092,0.5572,0.1991369
PF00143.16,0.194,0.52069,1278,160,108.259851275571,0.295,0.295,0.705,0.3096,0.3771665
PF00144.21,0.429,0.665144,55168,287,3028.77386239397,0.589136490251,0.589136490251,0.410863509749,0.6933,0.05664488
PF00145.14,0.268,0.583456,65346,301,4803.94479311532,0.523240371846,0.523240371846,0.476759628154,0.7051,0.1393287
PF00146.18,0.214,0.292994,30002,306,609.768548305127,0.320261437908,0.320261437908,0.679738562092,0.5532,0.4930375
PF00147.15,0.302,0.521907,9748,249,1024.85205116097,0.53772070626,0.53772070626,0.46227929374,0.6396,0.1539365
PF00148.16,0.264,0,5546,138,260.890150378138,0.388405797101,0.388405797101,0.611594202899,0.3591,0.4005585
PF00149.25,0.357,0.531819,50152,112,2924.01643191249,0.610714285714,0.610714285714,0.389285714286,0.5923,0.07298475
PF00150.15,0.449,0.631045,40203,268,3139.27538404132,0.510447761194,0.510447761194,0.489552238806,0.6829,0.08251473
PF00151.16,0.091,0.246363,93312,336,11622.5587996933,0.386904761905,0.386904761905,0.613095238095,0.3313,0.5541337
PF00153.24,0.314,0,65401,83,1829.66000618814,0.418269230769,0.418269230769,0.581730769231,0.0382,0.2978992
PF00154.18,0.218,0.414751,65518,262,1731.63563362767,0.467175572519,0.467175572519,0.532824427481,0.5197,0.3780524
PF00155.18,0.343,0.609784,65535,381,1372.86208205809,0.563483735572,0.563483735572,0.436516264428,0.6311,0.07450157
PF00156.24,0.543,0.671379,65519,138,1295.51618053185,0.631884057971,0.631884057971,0.368115942029,0.7451,0.05185185
PF00157.14,0.803,0.822353,65497,59,5999.69131317057,0.533783783784,0.533783783784,0.466216216216,0.6657,NA
PF00158.23,0.261,0.535038,65520,162,4926.57940642529,0.562962962963,0.562962962963,0.437037037037,0.5182,0.1335113
PF00160.18,0.506,0.625259,35368,151,1882.39697725266,0.626984126984,0.626984126984,0.373015873016,0.7761,0.04693141
PF00161.16,0.181,0.602056,1577,189,182.518058020583,0.401691331924,0.401691331924,0.598308668076,0.4665,0.225997
PF00162.16,0.3,0.63379,7001,373,961.422991197428,0.531618435155,0.531618435155,0.468381564845,0.6026,0.09721048
PF00163.16,0.22,0.554839,4167,93,646.413319380665,0.429184549356,0.429184549356,0.570815450644,0.4153,0.3045775
PF00164.22,0.21,0.116601,15059,122,348.619861918363,0.43606557377,0.43606557377,0.56393442623,0.223,0.461454
PF00166.18,0.269,0.478622,13405,93,1000.67753566326,0.50643776824,0.50643776824,0.49356223176,0.394,0.2273313
PF00167.15,0.233,0,2783,65,161.104146879095,0.539877300613,0.539877300613,0.460122699387,0.2767,0.2328205
PF00168.27,0.351,0.484012,48153,99,1963.55459686533,0.592741935484,0.592741935484,0.407258064516,0.6285,0.1073095
PF00169.26,0.477,0.550087,39399,100,2164.76099222688,0.608,0.608,0.392,0.5977,0.05757576
PF00170.18,0.261,0.238701,16545,61,727.105397414416,0.267973856209,0.267973856209,0.732026143791,0.2749,0.4068418
PF00172.15,0.246,0.383438,,50,11208.714716417711,,,,,0.1951641
PF00173.25,0.431,0.604147,14748,72,884.279820405832,0.5,0.5,0.5,0.4894,0.1052632
PF00174.16,0.41,0.525329,14089,174,592.66392532499,0.606896551724,0.606896551724,0.393103448276,0.6426,0.06659013
PF00175.18,0.552,0.636372,63985,108,1984.64534329588,0.57037037037,0.57037037037,0.42962962963,0.746,0.05739514
PF00176.20,0.130,0.365899,,364,4235.126172033996,,,,,0.462442
PF00177.18,0.465,0.574814,16922,148,736.603356215176,0.483783783784,0.483783783784,0.516216216216,0.6335,0.1254331
PF00178.19,0.229,0.456834,9565,76,249.535201641574,0.405263157895,0.405263157895,0.594736842105,0.2878,0.4295372
PF00179.23,0.397,0.628115,29583,134,680.78998689392,0.492537313433,0.492537313433,0.507462686567,0.6067,0.107393
PF00180.17,0.335,0.571014,28080,324,202.680690949799,0.507407407407,0.507407407407,0.492592592593,0.6962,0.1418793
PF00181.20,0.269,0.232741,12680,75,796.948872331537,0.56914893617,0.56914893617,0.43085106383,0.3585,0.2673267
PF00182.16,0.127,0.411635,6022,230,334.070743014343,0.354782608696,0.354782608696,0.645217391304,0.3256,0.535379
PF00183.15,0.1,0.234993,12615,415,465.717831744775,0.361271676301,0.361271676301,0.638728323699,0.3337,0.5921005
PF00184.14,0.176,0.578607,,78,94.87097901044712,,,,,0.1183644
PF00185.21,0.43,0.633412,36400,156,189.398825080179,0.579487179487,0.579487179487,0.420512820513,0.6205,0.05107084
PF00186.16,0.364,0.582624,21986,158,884.827680520637,0.564556962025,0.564556962025,0.435443037975,0.5832,0.08308895
PF00188.23,0.459,0.566228,18467,103,1848.31328605475,0.546511627907,0.546511627907,0.453488372093,0.5062,0.08259587
PF00189.17,0.432,0.238596,17131,83,632.492238954136,0.456730769231,0.456730769231,0.543269230769,0.4428,0.1434821
PF00190.19,0.167,0.169467,65523,147,4115.56748600371,0.548913043478,0.548913043478,0.451086956522,0.4107,0.2827763
PF00191.17,0.611,0,10460,65,587.809336008829,0.472392638037,0.472392638037,0.527607361963,0.6065,0.1129032
PF00193.14,0.233,0.557492,3444,92,102.565808288755,0.530434782609,0.530434782609,0.469565217391,0.2708,0.1626984
PF00195.16,0.292,0.456931,65372,218,2608.1174757501,0.54128440367,0.54128440367,0.45871559633,0.5554,0.1908775
PF00196.16,0.788,0.806204,171263,54,11814.1444298072,0.622222222222,0.622222222222,0.377777777778,0.6529,NA
PF00197.15,0.17,0.301721,1018,164,155.604766125009,0.465853658537,0.465853658537,0.534146341463,0.3591,0.3960743
PF00198.20,0.409,0.548632,23609,221,949.213824456033,0.553345388788,0.553345388788,0.446654611212,0.6901,0.09342561
PF00199.16,0.146,0.223887,16516,383,418.893510035944,0.418580375783,0.418580375783,0.581419624217,0.3736,0.506347
PF00200.20,0.261,0.385918,4757,72,640.261890801121,0.572222222222,0.572222222222,0.427777777778,0.2261,0.2083333
PF00201.15,0.118,0.366176,27088,415,1190.67269760868,0.392100192678,0.392100192678,0.607899807322,0.339,0.5562176
PF00202.18,0.219,0.545841,65438,381,633.504170677732,0.467995802728,0.467995802728,0.532004197272,0.5768,0.2506122
PF00203.18,0.295,0.631926,16959,81,730.492771154231,0.418719211823,0.418719211823,0.581280788177,0.3609,0.1720085
PF00204.22,0.417,0.710699,30968,171,595.696655296124,0.497663551402,0.497663551402,0.502336448598,0.7271,0.06470588
PF00205.19,0.497,0.685203,16750,133,717.731518031492,0.591591591592,0.591591591592,0.408408408408,0.6884,0.04810997
PF00206.17,0.332,0.433961,41722,325,372.869076158797,0.450184501845,0.450184501845,0.549815498155,0.4439,0.2632075
PF00207.19,0.221,0.111005,6440,91,425.511792740774,0.5,0.5,0.5,0.219,0.3738426
PF00208.18,0.374,0.656906,65423,239,1514.00102738643,0.555183946488,0.555183946488,0.444816053512,0.7309,0.06641124
PF00210.21,0.462,0.512825,24693,135,362.016530459318,0.346153846154,0.346153846154,0.653846153846,0.5872,0.130621
PF00211.17,0.518,0.632855,32098,182,1871.67283318039,0.61978021978,0.61978021978,0.38021978022,0.7341,0.04727273
PF00213.15,0.362,0.540287,13940,171,802.457267282245,0.511682242991,0.511682242991,0.488317757009,0.7272,0.1466346
PF00214.16,0.161,0.163905,,123,33.31732526188162,,,,,0.572288
PF00215.21,0.398,0.721282,14784,211,309.372325778686,0.55303030303,0.55303030303,0.44696969697,0.6453,0.05192308
PF00216.18,0.343,0.496874,28148,90,890.944180276975,0.537777777778,0.537777777778,0.462222222222,0.3313,0.155633
PF00217.16,0.239,0.570719,7062,231,448.127800462976,0.449826989619,0.449826989619,0.550173010381,0.5223,0.2447292
PF00218.18,0.44,0.693311,16826,242,577.119820515757,0.527272727273,0.527272727273,0.472727272727,0.8205,0.0625
PF00219.15,0.215,0.560801,,53,104.05491420964316,,,,,0.1145374
PF00223.16,0.051,0.1522,7638,710,41.6506925047941,0.292957746479,0.292957746479,0.707042253521,0.183,0.6345609
PF00224.18,0.427,0.633605,28508,339,777.634309553867,0.549528301887,0.549528301887,0.450471698113,0.6334,0.0669145
PF00225.20,0.358,0.587381,62839,306,2632.35048042025,0.508496732026,0.508496732026,0.491503267974,0.6467,0.1256072
PF00226.28,0.618,0.704788,65228,62,5710.10956563189,0.477419354839,0.477419354839,0.522580645161,0.6055,0.05354331
PF00227.23,0.425,0.384031,30016,181,411.85014645615,0.454746136865,0.454746136865,0.545253863135,0.7236,0.148581
PF00229.15,0.142,0.450731,1963,141,169.468218626309,0.410764872521,0.410764872521,0.589235127479,0.3004,0.4664446
PF00230.17,0.271,0.65168,26228,101,1549.52241659923,0.415019762846,0.415019762846,0.584980237154,0.7172,0.1616162
PF00231.16,0.218,0.500134,11505,279,909.768704490497,0.36676217765,0.36676217765,0.63323782235,0.5026,0.4113712
PF00233.16,0.359,0.309643,6781,235,520.948425297885,0.394557823129,0.394557823129,0.605442176871,0.6371,0.2170979
PF00234.19,0.192,0.540231,5472,85,462.303772760961,0.403755868545,0.403755868545,0.596244131455,0.2788,0.3465473
PF00235.16,0.361,0.581961,2371,126,248.082169053559,0.511111111111,0.511111111111,0.488888888889,0.6308,0.1240418
PF00236.15,0.172,0.193062,446,89,42.7808343484427,0.515695067265,0.515695067265,0.484304932735,0.2475,0.28686
PF00237.16,0.386,0.550356,15888,104,1026.95705234129,0.603846153846,0.603846153846,0.396153846154,0.6467,0.06485849
PF00238.16,0.233,0.437489,13055,122,626.140350570832,0.560655737705,0.560655737705,0.439344262295,0.2432,0.2017958
PF00239.18,0.621,0,30887,148,1396.09044163845,0.435135135135,0.435135135135,0.564864864865,0.559,0.1126126
PF00240.20,0.439,0.523174,32757,67,2856.50907463877,0.547619047619,0.547619047619,0.452380952381,0.5201,0.1012862
PF00241.17,0.356,0.413204,7123,120,312.029019301923,0.446666666667,0.446666666667,0.553333333333,0.5511,0.2197681
PF00243.15,0.19,0.244672,6505,117,132.766562164448,0.477815699659,0.477815699659,0.522184300341,0.2081,0.4255319
PF00244.17,0.165,0.314696,5362,222,432.687738660072,0.30990990991,0.30990990991,0.69009009009,0.3195,0.5663295
PF00245.17,0.287,0.601598,21546,434,1324.47990167833,0.480184331797,0.480184331797,0.519815668203,0.6939,0.1726776
PF00246.21,0.367,0.522946,23834,279,696.647609550087,0.498567335244,0.498567335244,0.501432664756,0.6023,0.176565
PF00248.18,0.439,0.577712,65411,296,1282.40129929795,0.545945945946,0.545945945946,0.454054054054,0.7759,0.08275862
PF00250.15,0.336,0.406825,10637,85,682.787302436047,0.380281690141,0.380281690141,0.619718309859,0.3627,0.2567829
PF00251.17,0.281,0.486832,21794,282,383.851070416566,0.575886524823,0.575886524823,0.424113475177,0.6939,0.1396226
PF00252.15,0.352,0.54725,15982,128,578.751380941808,0.484375,0.484375,0.515625,0.5198,0.1790416
PF00253.18,0.281,0.160128,13916,54,311.381549546456,0.42962962963,0.42962962963,0.57037037037,0.2065,0.3619081
PF00254.25,0.486,0.589225,44346,88,1658.76414309327,0.631818181818,0.631818181818,0.368181818182,0.67,0.05208333
PF00255.16,0.418,0.676248,65526,106,3101.31537654455,0.584905660377,0.584905660377,0.415094339623,0.6316,0.05579399
PF00257.16,0.047,0.0529769,,257,18927.335751794468,,,,,0.3076506
PF00258.22,0.534,0.621004,40496,132,647.705551407394,0.563636363636,0.563636363636,0.436363636364,0.7288,0.05132743
PF00261.17,0.118,0.438065,,237,92150.9485809856,,,,,0.5017588
PF00262.15,0.124,0.279465,2725,117,166.522207208913,0.423208191126,0.423208191126,0.576791808874,0.3106,0.4863168
PF00263.18,0.215,0.194162,14431,162,831.607783190576,0.567901234568,0.567901234568,0.432098765432,0.0804,0.2322176
PF00264.17,0.122,0.43605,8288,165,889.544508245405,0.297820823245,0.297820823245,0.702179176755,0.3049,0.5033708
PF00265.15,0.256,0.536908,7485,171,453.468965215396,0.530373831776,0.530373831776,0.469626168224,0.52,0.1698009
PF00266.16,0.329,0.536779,65513,368,938.680567170861,0.514130434783,0.514130434783,0.485869565217,0.6962,0.1627907
PF00267.18,0.236,0.159433,10071,165,1931.12433520567,0.576271186441,0.576271186441,0.423728813559,0.2352,0.1862464
PF00268.18,0.155,0.413246,13773,269,151.803159810938,0.316493313522,0.316493313522,0.683506686478,0.4661,0.5329341
PF00269.17,0.489,0.623736,4908,54,319.251100876734,0.503703703704,0.503703703704,0.496296296296,0.4446,0.08209693
PF00270.26,0.427,0.626716,65513,168,3866.22110032582,0.540476190476,0.540476190476,0.459523809524,0.6618,0.06742857
PF00271.28,0.465,0.678123,65524,108,2877.0781421914,0.566666666667,0.566666666667,0.433333333333,0.6001,0.05427975
PF00273.17,0.198,0,2051,173,79.1946274196276,0.304849884527,0.304849884527,0.695150115473,0.2789,0.5190455
PF00274.16,0.159,0.386855,4467,345,215.350199212285,0.391657010429,0.391657010429,0.608342989571,0.4851,0.5312564
PF00276.17,0.485,0.585196,15370,86,937.623854555973,0.6,0.6,0.4,0.6303,0.05150977
PF00277.15,0.235,0.203067,349,101,86.4955050588633,0.320158102767,0.320158102767,0.679841897233,0.3105,0.456232
PF00278.19,0.251,0.423065,19276,103,495.260010434969,0.527131782946,0.527131782946,0.472868217054,0.496,0.2566973
PF00280.15,0.414,0.596902,3088,60,289.858322643507,0.513333333333,0.513333333333,0.486666666667,0.3025,0.09771987
PF00281.16,0.311,0.257659,13840,57,1127.64270113864,0.384615384615,0.384615384615,0.615384615385,0.31,0.3018946
PF00282.16,0.195,0.428243,65427,367,1599.23976988676,0.468409586057,0.468409586057,0.531590413943,0.5256,0.3761114
PF00285.18,0.369,0.635451,23662,365,303.628408974803,0.453450164294,0.453450164294,0.546549835706,0.7081,0.1450151
PF00286.17,0.203,0.52575,2554,134,81.006203941241,0.385074626866,0.385074626866,0.614925373134,0.3295,0.3700116
PF00287.15,0.104,0.372522,1408,261,176.233351356617,0.332312404288,0.332312404288,0.667687595712,0.3071,0.5744376
PF00288.23,0.516,0.389703,21275,65,510.305545373937,0.478527607362,0.478527607362,0.521472392638,0.5362,0.1205008
PF00289.19,0.586,0.665817,26729,110,1736.53403816189,0.647272727273,0.647272727273,0.352727272727,0.7934,0.06097561
PF00290.17,0.435,0.718689,11360,241,558.02379131505,0.578772802653,0.578772802653,0.421227197347,0.7644,0.05278592
PF00291.22,0.28,0.56705,65523,260,723.414405537569,0.573846153846,0.573846153846,0.426153846154,0.6653,0.09653465
PF00292.15,0.175,0.254103,65329,125,5139.59923627669,0.386581469649,0.386581469649,0.613418530351,0.3162,0.4505401
PF00293.25,0.301,0.520993,65534,120,2668.1152722483,0.516666666667,0.516666666667,0.483333333333,0.6052,0.1790254
PF00294.21,0.569,0.716981,65535,278,2031.51789030844,0.646043165468,0.646043165468,0.353956834532,0.7865,0.04255319
PF00295.14,0.272,0.107874,29022,191,571.740995182579,0.57949790795,0.57949790795,0.42050209205,0.5605,0.2113821
PF00296.17,0.195,0.373724,50515,297,1047.34363854397,0.506056527591,0.506056527591,0.493943472409,0.6039,0.3343993
PF00297.19,0.114,0.199978,15152,373,496.049641392865,0.411575562701,0.411575562701,0.588424437299,0.2254,0.5432541
PF00298.16,0.578,0.7038,13200,69,910.990626071251,0.479768786127,0.479768786127,0.520231213873,0.5911,0.06134094
PF00300.19,0.58,0.649016,60900,190,2204.82194165784,0.623157894737,0.623157894737,0.376842105263,0.7758,0.05555556
PF00302.15,0.336,0.313527,17522,203,1101.76215062111,0.472440944882,0.472440944882,0.527559055118,0.5416,0.2567829
PF00303.16,0.274,0.638157,6077,262,621.984653785391,0.41679389313,0.41679389313,0.58320610687,0.5943,0.1710376
